method,value,name,dir
stack3D,0.15274463007159905,Interstate 40,Westbound
stack3D,0.04,Interstate 88 (Illinois),Eastbound
stack3D,0.038461538461538464,Interstate 88 (Illinois),Westbound
stack3D,0.375,Interstate 17,Southbound
stack3D,0.1111111111111111,Interstate 17,Northbound
stack3D,0.15625,Interstate 96,Eastbound
stack3D,0.09375,Interstate 96,Westbound
stack3D,0.043478260869565216,Interstate 27,Northbound
stack3D,0.0,Interstate 105 (Oregon),Eastbound
stack3D,0.0,Interstate 105 (Oregon),Westbound
stack3D,0.23333333333333334,Interstate 335 (Kansas),Eastbound
stack3D,0.18518518518518517,Interstate 335 (Kansas),Westbound
stack3D,0.16600790513833993,Interstate 15,Southbound
stack3D,0.13688212927756654,Interstate 15,Northbound
stack3D,0.21074380165289255,Interstate 5,Southbound
stack3D,0.13675213675213677,Interstate 5,Northbound
stack3D,0.3076923076923077,Interstate 78,Eastbound
stack3D,0.08,Interstate 78,Westbound
stack3D,0.20202020202020202,Interstate 44,Eastbound
stack3D,0.24489795918367346,Interstate 44,Westbound
stack3D,0.3111111111111111,Interstate 29,Southbound
stack3D,0.16521739130434782,Interstate 29,Northbound
stack3D,0.2054794520547945,Interstate 74,Eastbound
stack3D,0.14285714285714285,Interstate 74,Westbound
stack3D,0.09090909090909091,Interstate 495 (Massachusetts),Southbound
stack3D,0.2727272727272727,Interstate 495 (Massachusetts),Northbound
stack3D,0.18888888888888888,Interstate 64,Eastbound
stack3D,0.1797752808988764,Interstate 64,Westbound
stack3D,0.0,Interstate 88 (New York),Eastbound
stack3D,0.09349593495934959,Interstate 94,Eastbound
stack3D,0.13725490196078433,Interstate 94,Westbound
stack3D,0.2647058823529412,Interstate 49 (Lousiana-South Segment,Southbound
stack3D,0.29411764705882354,Interstate 49 (Lousiana-South Segment,Northbound
stack3D,0.15384615384615385,Interstate 49 (Missouri),Southbound
stack3D,0.0967741935483871,Interstate 49 (Missouri),Northbound
stack3D,0.109375,Interstate 69,Southbound
stack3D,0.1774193548387097,Interstate 69,Northbound
stack3D,0.056768558951965066,Interstate 75,Southbound
stack3D,0.13529411764705881,Interstate 75,Northbound
stack3D,0.07894736842105263,Interstate 35,Southbound
stack3D,0.06701030927835051,Interstate 35,Northbound
stack3D,0.2222222222222222,Interstate 93,Southbound
stack3D,0.3142857142857143,Interstate 93,Northbound
stack3D,0.09259259259259259,Interstate 87,Southbound
stack3D,0.0625,Interstate 87,Northbound
stack3D,0.20967741935483872,Interstate 71,Southbound
stack3D,0.16129032258064516,Interstate 71,Northbound
stack3D,0.24444444444444444,Interstate 84 (Pennsylvania-Massachusetts),Eastbound
stack3D,0.32558139534883723,Interstate 84 (Pennsylvania-Massachusetts),Westbound
stack3D,0.3333333333333333,Interstate 24,Eastbound
stack3D,0.08771929824561403,Interstate 24,Westbound
stack3D,0.18518518518518517,Interstate 16,Eastbound
stack3D,0.14814814814814814,Interstate 16,Westbound
stack3D,0.3142857142857143,Interstate 72,Eastbound
stack3D,0.2571428571428571,Interstate 72,Westbound
stack3D,0.15942028985507245,Interstate 79,Southbound
stack3D,0.13043478260869565,Interstate 79,Northbound
stack3D,0.14814814814814814,Interstate 41,Southbound
stack3D,0.22580645161290322,Interstate 41,Northbound
capac,0.125,Interstate 55,Southbound
capac,0.1276595744680851,Interstate 55,Northbound
capac,0.08048780487804878,Interstate 90,Eastbound
capac,0.1687344913151365,Interstate 90,Westbound
capac,0.0,Interstate 85,Eastbound
capac,0.1557377049180328,Interstate 85,Westbound
capac,0.0,Interstate 57,Southbound
capac,0.2459016393442623,Interstate 57,Northbound
capac,0.5076923076923077,Interstate 26,Southbound
capac,0.0,Interstate 26,Northbound
capac,0.0,Interstate 82,Southbound
capac,0.18518518518518517,Interstate 82,Northbound
capac,0.189873417721519,Interstate 76 (Ohio-New Jersey),Eastbound
capac,0.012345679012345678,Interstate 76 (Ohio-New Jersey),Westbound
capac,0.07547169811320754,Interstate 39,Southbound
capac,0.32653061224489793,Interstate 39,Northbound
capac,0.0,Interstate 86 (Pennsylvania-New York),Eastbound
capac,0.0,Interstate 86 (Pennsylvania-New York),Westbound
capac,0.006802721088435374,Interstate 84 (Oregon-Utah),Eastbound
capac,0.14189189189189189,Interstate 84 (Oregon-Utah),Westbound
capac,0.08,Interstate 76 (Colorado-Nebraska),Westbound
capac,0.28,Interstate 476 (Pennsylvania),Southbound
capac,0.36,Interstate 476 (Pennsylvania),Northbound
capac,0.1388888888888889,Interstate 43,Southbound
capac,0.5483870967741935,Interstate 43,Northbound
capac,0.16009852216748768,Interstate 10,Eastbound
capac,0.13365155131264916,Interstate 10,Westbound
capac,0.00625,Interstate 81,Southbound
capac,0.0759493670886076,Interstate 81,Northbound
capac,0.057692307692307696,Interstate 8,Eastbound
capac,0.39215686274509803,Interstate 8,Westbound
capac,0.27358490566037735,Interstate 95 (Southern Segment),Southbound
capac,0.04285714285714286,Interstate 95 (Southern Segment),Northbound
capac,0.09565217391304348,Interstate 95 (Northern Segment),Southbound
capac,0.2796610169491525,Interstate 95 (Northern Segment),Northbound
capac,0.13513513513513514,Interstate 89,Southbound
capac,0.2702702702702703,Interstate 89,Northbound
capac,0.0,Interstate 68,Eastbound
capac,0.0,Interstate 68,Westbound
capac,0.6486486486486487,Interstate 45,Southbound
capac,0.4666666666666667,Interstate 45,Northbound
capac,0.07017543859649122,Interstate 30,Eastbound
capac,0.4117647058823529,Interstate 30,Westbound
capac,0.4267515923566879,Interstate 65,Southbound
capac,0.16666666666666666,Interstate 65,Northbound
capac,0.9285714285714286,Interstate 37,Northbound
capac,0.03812316715542522,Interstate 70,Eastbound
capac,0.02702702702702703,Interstate 70,Westbound
capac,0.01818181818181818,Interstate 91,Southbound
capac,0.32727272727272727,Interstate 91,Northbound
capac,0.1388888888888889,Interstate 25,Southbound
capac,0.2011173184357542,Interstate 25,Northbound
capac,0.31645569620253167,Interstate 59,Southbound
capac,0.0,Interstate 59,Northbound
capac,0.3448275862068966,Interstate 77,Southbound
capac,0.30701754385964913,Interstate 77,Northbound
capac,0.13513513513513514,Interstate 22,Eastbound
capac,0.24324324324324326,Interstate 22,Westbound
capac,0.19083969465648856,Interstate 20,Eastbound
capac,0.09578544061302682,Interstate 20,Westbound
capac,0.034482758620689655,Interstate 80,Eastbound
capac,0.047516198704103674,Interstate 80,Westbound
capac,0.1445221445221445,Interstate 40,Eastbound
capac,0.07637231503579953,Interstate 40,Westbound
capac,0.56,Interstate 88 (Illinois),Eastbound
capac,0.0,Interstate 88 (Illinois),Westbound
capac,0.7916666666666666,Interstate 17,Southbound
capac,0.48148148148148145,Interstate 17,Northbound
capac,0.03125,Interstate 96,Eastbound
capac,0.09375,Interstate 96,Westbound
capac,0.13043478260869565,Interstate 27,Northbound
capac,0.0,Interstate 105 (Oregon),Eastbound
capac,0.0,Interstate 105 (Oregon),Westbound
capac,0.0,Interstate 335 (Kansas),Eastbound
capac,0.0,Interstate 335 (Kansas),Westbound
capac,0.11067193675889328,Interstate 15,Southbound
capac,0.4068441064638783,Interstate 15,Northbound
capac,0.2892561983471074,Interstate 5,Southbound
capac,0.358974358974359,Interstate 5,Northbound
capac,0.11538461538461539,Interstate 78,Eastbound
capac,0.0,Interstate 78,Westbound
capac,0.0,Interstate 44,Eastbound
capac,0.1326530612244898,Interstate 44,Westbound
capac,0.1259259259259259,Interstate 29,Southbound
capac,0.24347826086956523,Interstate 29,Northbound
capac,0.5205479452054794,Interstate 74,Eastbound
capac,0.3,Interstate 74,Westbound
capac,0.045454545454545456,Interstate 495 (Massachusetts),Southbound
capac,0.18181818181818182,Interstate 495 (Massachusetts),Northbound
capac,0.22777777777777777,Interstate 64,Eastbound
capac,0.06741573033707865,Interstate 64,Westbound
capac,0.36363636363636365,Interstate 88 (New York),Eastbound
capac,0.16666666666666666,Interstate 94,Eastbound
capac,0.09411764705882353,Interstate 94,Westbound
capac,0.14705882352941177,Interstate 49 (Lousiana-South Segment,Southbound
capac,0.17647058823529413,Interstate 49 (Lousiana-South Segment,Northbound
capac,0.0,Interstate 49 (Missouri),Southbound
capac,0.0,Interstate 49 (Missouri),Northbound
capac,0.296875,Interstate 69,Southbound
capac,0.0967741935483871,Interstate 69,Northbound
capac,0.14410480349344978,Interstate 75,Southbound
capac,0.3176470588235294,Interstate 75,Northbound
capac,0.11052631578947368,Interstate 35,Southbound
capac,0.3865979381443299,Interstate 35,Northbound
capac,0.19444444444444445,Interstate 93,Southbound
capac,0.2857142857142857,Interstate 93,Northbound
capac,0.3148148148148148,Interstate 87,Southbound
capac,0.234375,Interstate 87,Northbound
capac,0.5483870967741935,Interstate 71,Southbound
capac,0.6129032258064516,Interstate 71,Northbound
capac,0.022222222222222223,Interstate 84 (Pennsylvania-Massachusetts),Eastbound
capac,0.0,Interstate 84 (Pennsylvania-Massachusetts),Westbound
capac,0.5087719298245614,Interstate 24,Eastbound
capac,0.43859649122807015,Interstate 24,Westbound
capac,0.6296296296296297,Interstate 16,Eastbound
capac,0.037037037037037035,Interstate 16,Westbound
capac,0.0,Interstate 72,Eastbound
capac,0.0,Interstate 72,Westbound
capac,0.07246376811594203,Interstate 79,Southbound
capac,0.37681159420289856,Interstate 79,Northbound
capac,0.25925925925925924,Interstate 41,Southbound
capac,0.4838709677419355,Interstate 41,Northbound
middle,0.19444444444444445,Interstate 55,Southbound
middle,0.14893617021276595,Interstate 55,Northbound
middle,0.08780487804878048,Interstate 90,Eastbound
middle,0.21339950372208435,Interstate 90,Westbound
middle,0.01680672268907563,Interstate 85,Eastbound
middle,0.21311475409836064,Interstate 85,Westbound
middle,0.0,Interstate 57,Southbound
middle,0.2459016393442623,Interstate 57,Northbound
middle,0.4461538461538462,Interstate 26,Southbound
middle,0.03125,Interstate 26,Northbound
